event, trigger_type, readout_type, global_timestamp
10000, Unknown, None, 1533761940
10001, Unknown, None, 1533761940
10002, Unknown, None, 1533761940
10003, Unknown, None, 1533761940
10004, Unknown, None, 1533761940
10005, Unknown, None, 1533761940
10006, Unknown, None, 1533761940
10007, Unknown, None, 1533761940
10008, Unknown, None, 1533761940
10009, Unknown, None, 1533761940
10010, Unknown, None, 1533761940
10011, Unknown, None, 1533761940
10012, Unknown, None, 1533761940
10013, Unknown, None, 1533761940
10014, Unknown, None, 1533761940
10015, Unknown, None, 1533761940
10016, Unknown, None, 1533761940
10017, Unknown, None, 1533761940
10018, Unknown, None, 1533761940
10019, Unknown, None, 1533761940
10020, Unknown, None, 1533761940
10021, Unknown, None, 1533761940
10022, Unknown, None, 1533761940
10023, Unknown, None, 1533761940
10024, Unknown, None, 1533761940
10025, Unknown, None, 1533761940
10026, Unknown, None, 1533761940
10027, Unknown, None, 1533761940
10028, Unknown, None, 1533761940
10029, Unknown, None, 1533761940
10030, Unknown, None, 1533761940
10031, Unknown, None, 1533761940
10032, Unknown, None, 1533761940
10033, Unknown, None, 1533761940
10034, Unknown, None, 1533761940
10035, Unknown, None, 1533761940
10036, Unknown, None, 1533761940
10037, Unknown, None, 1533761940
10038, Unknown, None, 1533761940
10039, Unknown, None, 1533761940
10040, Unknown, None, 1533761940
10041, Unknown, None, 1533761940
10042, Unknown, None, 1533761940
10043, Unknown, None, 1533761940
10044, Unknown, None, 1533761940
10045, Unknown, None, 1533761940
10046, Unknown, None, 1533761940
10047, Unknown, None, 1533761940
10048, Unknown, None, 1533761940
10049, Unknown, None, 1533761940
10050, Unknown, None, 1533761940
10051, Unknown, None, 1533761940
10052, Unknown, None, 1533761940
10053, Unknown, None, 1533761940
10054, Unknown, None, 1533761940
10055, Unknown, None, 1533761940
10056, Unknown, None, 1533761940
10057, Unknown, None, 1533761940
10058, Unknown, None, 1533761940
10059, Unknown, None, 1533761940
10060, Unknown, None, 1533761940
10061, Unknown, None, 1533761940
10062, Unknown, None, 1533761940
10063, Unknown, None, 1533761940
10064, Unknown, None, 1533761940
10065, Unknown, None, 1533761940
10066, Unknown, None, 1533761940
10067, Unknown, None, 1533761940
10068, Unknown, None, 1533761940
10069, Unknown, None, 1533761940
10070, Unknown, None, 1533761940
10071, Unknown, None, 1533761940
10072, Unknown, None, 1533761940
10073, Unknown, None, 1533761940
10074, Unknown, None, 1533761940
10075, Unknown, None, 1533761940
10076, Unknown, None, 1533761940
10077, Unknown, None, 1533761940
10078, Unknown, None, 1533761941
10079, Unknown, None, 1533761941
10080, Unknown, None, 1533761941
10081, Unknown, None, 1533761941
10082, Unknown, None, 1533761941
10083, Unknown, None, 1533761941
10084, Unknown, None, 1533761941
10085, Unknown, None, 1533761941
10086, Unknown, None, 1533761941
10087, Unknown, None, 1533761941
10088, Unknown, None, 1533761941
10089, Unknown, None, 1533761941
10090, Unknown, None, 1533761941
10091, Unknown, None, 1533761941
10092, Unknown, None, 1533761941
10093, Unknown, None, 1533761941
10094, Unknown, None, 1533761941
10095, Unknown, None, 1533761941
10096, Unknown, None, 1533761941
10097, Unknown, None, 1533761941
10098, Unknown, None, 1533761941
10099, Unknown, None, 1533761941
