filename,size,rseries
07180808_1558_F0001,48.123MiB,R68
07180808_1558_F0002,188.189MiB,R68
07180808_1558_F0003,182.402MiB,R68
07180808_1558_F0004,181.460MiB,R68
07180808_1558_F0005,184.202MiB,R68
07180808_1558_F0006,182.169MiB,R68
07180808_1558_F0007,186.828MiB,R68
07180808_1558_F0008,183.489MiB,R68
07180808_1558_F0009,183.679MiB,R68
07180808_1558_F0010,151.993MiB,R68
07180808_1608_F0001,50.837MiB,R68
07180808_1608_F0002,190.649MiB,R68
07180808_1608_F0003,187.207MiB,R68
07180808_1608_F0004,182.531MiB,R68
07180808_1608_F0005,184.533MiB,R68
07180808_1608_F0006,186.306MiB,R68
07180808_1608_F0007,184.426MiB,R68
07180808_1608_F0008,185.362MiB,R68
07180808_1608_F0009,170.866MiB,R68
07180808_1608_F0010,143.075MiB,R68
07180808_1618_F0001,53.342MiB,R68
07180808_1618_F0002,186.316MiB,R68
07180808_1618_F0003,186.108MiB,R68
07180808_1618_F0004,183.775MiB,R68
07180808_1618_F0005,161.092MiB,R68
07180808_1618_F0006,180.496MiB,R68
07180808_1618_F0007,182.690MiB,R68
07180808_1618_F0008,186.082MiB,R68
07180808_1618_F0009,183.706MiB,R68
07180808_1618_F0010,149.840MiB,R68
07180808_1628_F0001,47.838MiB,R68
07180808_1628_F0002,181.355MiB,R68
07180808_1628_F0003,183.600MiB,R68
07180808_1628_F0004,176.896MiB,R68
07180808_1628_F0005,175.469MiB,R68
07180808_1628_F0006,182.219MiB,R68
07180808_1628_F0007,183.479MiB,R68
07180808_1628_F0008,180.565MiB,R68
07180808_1628_F0009,174.677MiB,R68
07180808_1628_F0010,139.449MiB,R68
07180808_1638_F0001,43.323MiB,R68
07180808_1638_F0002,179.532MiB,R68
07180808_1638_F0003,175.312MiB,R68
07180808_1638_F0004,170.532MiB,R68
07180808_1638_F0005,170.834MiB,R68
07180808_1638_F0006,172.738MiB,R68
07180808_1638_F0007,171.316MiB,R68
07180808_1638_F0008,172.792MiB,R68
07180808_1638_F0009,179.145MiB,R68
07180808_1638_F0010,139.797MiB,R68
07180808_1648_F0001,51.933MiB,R68
07180808_1648_F0002,173.604MiB,R68
07180808_1648_F0003,175.352MiB,R68
07180808_1648_F0004,171.115MiB,R68
07180808_1648_F0005,170.123MiB,R68
07180808_1648_F0006,172.145MiB,R68
07180808_1648_F0007,170.952MiB,R68
07180808_1648_F0008,171.715MiB,R68
07180808_1648_F0009,173.181MiB,R68
07180808_1648_F0010,133.682MiB,R68
07180808_1715_F0001,46.874MiB,R68
07180808_1715_F0002,177.952MiB,R68
07180808_1715_F0003,176.381MiB,R68
07180808_1715_F0004,180.332MiB,R68
07180808_1715_F0005,177.289MiB,R68
07180808_1715_F0006,176.810MiB,R68
07180808_1715_F0007,176.293MiB,R68
07180808_1715_F0008,181.265MiB,R68
07180808_1715_F0009,178.628MiB,R68
07180808_1715_F0010,136.407MiB,R68
07180808_1725_F0001,42.354MiB,R68
07180808_1725_F0002,172.753MiB,R68
07180808_1725_F0003,171.949MiB,R68
07180808_1725_F0004,166.670MiB,R68
07180808_1725_F0005,173.803MiB,R68
07180808_1725_F0006,171.230MiB,R68
07180808_1725_F0007,174.922MiB,R68
